code_qp,lib_qp
QN02104M,Le Bief Du Moulin
QN02105M,Le Belvédère
QN02106N,Quetigny Centre
QN02201M,Ar Santé - Les Fontaines
QN02202M,Ker Uhel
QN02203I,Croix Saint-Lambert - Ville Oger
QN02204M,Le Plateau - Europe - Balzac
QN02205I,Waron - Point Du Jour
QN02206I,La Fontaine des Eaux
QN02207N,Castel Pic - Roudourou - La Madeleine
QN02301M,L'Albatros
QN02401M,Quartier Rive-Gauche
QN02402M,Quartier Centre-ville
QN02403M,Quartier Nord
QN02404M,Chamiers
QN02405M,La Boucle de L'Isle
QN02501M,Le Grand-Longs-Traits/Berlioz
QN02502M,Orchamps-Palente
QN02503M,Planoise
QN02504M,Montrapon
QN02505M,Clairs Soleil
QN02506M,Les Champs Montants
QN02507M,Champvallon
QN02508M,Les Fougères
QN02509M,Chiffogne
QN02510M,Petite Hollande
QN02511M,Les Evoironnes
QN02512M,Les Buis
QN02513N,Batteries du Parc
QN02514N,Forges - Montanot
QN02515N,Hauts de Saint-Claude
QN02516N,Les Pareuses
QN02517N,Battant
QN02601I,Centre Ancien
QN02602M,Quartiers Ouest
QN02603M,Nocaze
QN02604M,Centre Historique
QN02605I,Quartiers Est
QN02606M,Polygone
QN02607M,Les Hauts de Valence
QN02608I,Valensolles
QN02609M,Chamberlière
QN02610M,Le Roc
QN02611M,Cœur De Loriol
QN02612M,Clairval
QN02701M,Les Eglantiers - Valmeux Blanchères - Boutardes
QN02702M,La Madeleine
QN02703M,Nétreville
QN02704M,Navarre
QN02705M,Maison-Rouge
QN02706M,Acacias - La Londe - Les Oiseaux - Salengro
QN02707M,Centre ville
QN02708M,Le Bourg Le Comte
QN02709M,L'Europe
QN02710M,La Passerelle
QN02711N,Gailloncelle - Verte Bonne - Jardin du bas
QN02712N,Quartier du Stade
QN02801M,Les Vauvettes
QN02802M,Les Clos
QN02803M,Vieux Puits - Paradis - Maunoury
QN02804M,Bruxelles - Arcades - Béguines
QN02805I,Tallemont - Bretagne
QN02806M,Les Bâtes Tabellionne
QN02807M,Les Rochelles - Barthou
QN02808M,Dunant - Kennedy
QN02809M,Beauvoir
QN02810M,Le Val
QN02811N,La Madeleine
QN02901M,Kerandon
QN02902M,Kermoysan
QN02903M,Kerourien
QN02904M,Bellevue
QN02905M,Keredern
QN02906M,Lambézellec Bourg
QN02907M,Pontanézen
QN02908M,Queliverzan Pontaniou
QN02909M,Kerangoff Loti
QN02A01M,Pifano
QN02A02M,Salines - Cannes
QN02A03N,Nord rocade
QN02B01M,Bastia Meridiunale
QN02B02M,Bastia Mezana
QN03001I,Près Saint Jean - Cévennes - Tamaris - Cauvel-la Royale - Rochebelle - Centre ville
QN03002M,Centre Ville
QN03003M,Pissevin - Valdegour
QN03004I,Gambetta-Richelieu
QN03005I,Chemin-Bas D'Avignon - Clos D'Orville
QN03006I,Mas De Mingue
QN03007M,Route de Beaucaire
QN03008M,Némausus-Jonquilles - Haute Magaille - Oliviers
QN03009M,Sabatot - Centre Ancien
QN03010M,Escanaux - Coronelle - Citadelle - Vigan Braquet
QN03011I,Centre Ville
QN03012M,La Moulinelle
QN03013M,Centre Ville
QN03014M,L'Ecusson
QN03015M,Les Costières
QN03016M,"La Grand-Combe, les Salles du Gardon et Branoux Les Taillades"
QN03017M,Quartier Amandiers-Mûriers
QN03101M,Saint Jean
QN03102M,Centre Ouest
QN03103M,Cœur et quartier de Saint-Gaudens
QN03104M,Barradels
QN03105M,Grand Val d'Aran-en-Jacca
QN03106I,Pradettes
QN03107M,Grand Mirail
QN03108M,Arènes
QN03109M,Empalot
QN03110M,Izards - 3 Cocus - La Vache
QN03111I,Cépière Beauregard
QN03112M,Breguet Lecrivain - Saint Exupéry
QN03113M,Soupetard
QN03114M,Vivier Maçon
QN03115I,La Gloire
QN03116N,Le Seycheron
QN03117N,Lalande Nord
QN03118N,Ginestous
QN03119N,La Fourguette
QN03201M,Grand Garros
QN03301I,Quartier Champ de Course
QN03302M,Yser - Pont de Madame
QN03303M,Quartier du Centre
QN03304M,Quartier Bourg
QN03305M,Quartier de l'Avenir
QN03306M,Carle Vernet - Terres Neuves
QN03307M,Le Lac
QN03308M,Marne-Capucins
QN03309M,Benauge - Henri Sellier - Léo Lagrange - Beausite
QN03310M,Grand-Parc
QN03311M,Bacalan
QN03312M,Palmer - Saraillère - 8 Mai 45 - Dravemont
QN03313M,Grand Caillou
QN03314M,Jean Jaurès
QN03315M,Barthez
QN03316M,Carriet
QN03317M,Génicart Est
QN03318M,Alpilles-Vincennes-Bois Fleuri
QN03319M,Beaudésert
QN03320M,Châtaigneraie - Arago
QN03321M,Saige
QN03322M,Thouars
QN03323M,Dorat
QN03324N,Thorez Goëlands
QN03325N,Haut Livrac
QN03401M,Centre Ville
QN03402M,Iranget Grangette
QN03403M,Devèze
QN03404M,Celleneuve
QN03405M,Mosson
QN03406I,Petit Bard Pergola
QN03407I,Paul Valéry - Pas Du Loup - Val De Croze
QN03408I,Cévennes
QN03409M,Gély - Figuerolles
QN03410M,Lemasson - Croix d'Argent
QN03411I,Tournezy-Saint Martin
QN03412I,Pompignane
QN03413I,Aiguelongue
QN03414M,Coeur de ville à Calmette
QN03415I,Ile De Thau
QN03416M,Centre Ville - Ile Sud
QN03417M,Centre Ville
QN03418M,Centre Ville
QN03419M,Centre Et Périphérie
QN03420M,Centre Ville
QN03421N,Centre Ville
QN03501I,La Découverte
QN03502M,Villejean
QN03503I,Bréquigny - Champs-Manceaux - Les Clôteaux
QN03504M,Maurepas
QN03505M,Le Blosne
QN03506I,Cleunay
QN03601M,Beaulieu
QN03602M,Saint Jean - Saint Jacques
QN03603M,Vaugirard - Saint Christophe - Les Rocheforts
QN03604I,Nation Bernardines
QN03701I,La Verrerie
QN03702M,Rabière
QN03703M,Niqueux Bruère - Marcel Pagnol
QN03704M,Rabaterie
QN03705M,Fontaines
QN03706I,Rochepinard
QN03707I,Rives Du Cher
QN03708M,Europe
QN03709M,Sanitas
QN03710M,Maryse Bastié
QN03711M,Bords De Loire
